ACCOUNT_ID,BALANCE_CENTS
0,6292801
1,4412588
2,7777921
3,3981929
4,2198485
5,15772
6,9482391
7,1824931
8,149098
9,5523349
10,2543534
11,1124082
12,771454
13,809107
14,2424254
15,5844754
16,709219
17,7303146
18,7444231
19,3774798
20,9656729
21,4062283
22,5106317
23,8436459
24,2953735
25,9253333
26,4773149
27,6016430
28,6868115
29,3841584
30,8916144
31,1462987
32,6764430
33,9366866
34,1467018
35,8702838
36,9707584
37,5971402
38,4604876
39,1493968
40,9369391
41,4623668
42,7112356
43,8584045
44,618051
45,8209751
46,7349543
47,6501207
48,4387329
49,8828485
50,9258769
51,739066
52,1136073
53,6301085
54,3523576
55,6556007
56,1500438
57,5996500
58,9674643
59,8441678
60,7742221
61,654414
62,778351
63,4260550
64,4245047
65,5361800
66,8857344
67,8242289
68,8755351
69,8964331
70,4773675
71,6489446
72,7474796
73,6655352
74,6824835
75,8646068
76,7199698
77,3254789
78,6464736
79,3357434
80,408434
81,6129609
82,3863682
83,8989479
84,1184785
85,7637857
86,1618408
87,2310973
88,2467043
89,9488802
90,5775882
91,5701296
92,2978361
93,9204350
94,5998869
95,5097301
96,3101786
97,9183051
98,9071670
99,5226675
100,9178915
101,1333491
102,8362016
103,3507882
104,8199252
105,5769297
106,5936587
107,7479761
108,3179786
109,4530167
110,432724
111,1394886
112,5327338
113,7149553
114,7417463
115,5473439
116,9222782
117,1003775
118,223972
119,1920937
120,6812493
121,3151161
122,4883862
123,6066291
124,193345
125,3148720
126,6374133
127,5329044
128,2517047
129,7517036
130,1971667
131,6248811
132,194582
133,3073508
134,4552443
135,3387537
136,2203305
137,3521642
138,9052081
139,1152773
140,3334788
141,8183725
142,5614693
143,8378035
144,3008945
145,9174659
146,2798632
147,9752179
148,4491466
149,1599489
150,3481583
151,6836984
152,9548353
153,8302915
154,7763534
155,7599036
156,6386624
157,7833470
158,5995655
159,3685179
160,2933742
161,4294762
162,4232385
163,7217129
164,9150440
165,2850285
166,3410373
167,8792196
168,2408180
169,2193242
170,2926586
171,5362359
172,1109520
173,7217956
174,7845311
175,1731599
176,9485643
177,6518709
178,1177656
179,6670389
180,4396027
181,5782279
182,849265
183,615825
184,9460863
185,7614751
186,5318222
187,7585958
188,6778056
189,4355012
190,256106
191,2484239
192,3699569
193,1084512
194,8169991
195,2607301
196,1169635
197,2274661
198,7089711
199,8831166
200,5029221
201,3844739
202,5642010
203,8424596
204,3576800
205,9768042
206,1486140
207,8370239
208,8356562
209,4835379
210,5776445
211,2929657
212,6461543
213,9859470
214,6355654
215,7436256
216,3244655
217,1779734
218,142815
219,7378037
220,9547628
221,8375518
222,6121696
223,8297992
224,2643469
225,5819335
226,1439224
227,3745522
228,8100315
229,9885500
230,7623783
231,6950424
232,8077452
233,805904
234,1946722
235,2309246
236,9502639
237,6813257
238,3992109
239,7134192
240,7134622
241,6592591
242,6725814
243,3858336
244,3031235
245,5658736
246,2048203
247,9331123
248,4691266
249,7219474
250,5898455
251,424552
252,6224300
253,7390260
254,4098470
255,8084952
256,1078235
257,2479658
258,726480
259,3849407
260,8102486
261,7090736
262,3355457
263,2907472
264,7738862
265,7830137
266,8626084
267,4008981
268,9937040
269,5866669
270,5592420
271,1534886
272,3585852
273,8212406
274,2563257
275,4611644
276,4405051
277,9310230
278,8353107
279,5042195
280,3039747
281,7734848
282,4784889
283,1588489
284,1155806
285,8117517
286,2042894
287,4375964
288,3775024
289,43231
290,6597013
291,1372575
292,1952488
293,4448269
294,6036041
295,1269400
296,6289049
297,6310101
298,5513332
299,917441
300,170271
301,947990
302,1809394
303,3541007
304,8318316
305,5723194
306,5452790
307,6925079
308,5434685
309,9262236
310,6421805
311,5523795
312,7008366
313,8944465
314,202987
315,3426888
316,4933317
317,8699069
318,9233150
319,4835413
320,2540508
321,2904265
322,1728673
323,8763631
324,340919
325,4458498
326,8884552
327,711512
328,260228
329,1140522
330,9758778
331,147587
332,3931711
333,3062990
334,2108549
335,9295056
336,5035829
337,2290644
338,6283006
339,3510402
340,8074017
341,8037954
342,3556570
343,1240071
344,1277931
345,8333886
346,4336601
347,1967751
348,2573474
349,3080752
350,3368508
351,9565277
352,1454908
353,6494441
354,2273112
355,8740249
356,5285606
357,6089725
358,7720648
359,6595694
360,2772117
361,836433
362,6635365
363,8573376
364,9635092
365,6838410
366,5756109
367,1782046
368,7443860
369,3015425
370,1088910
371,2762124
372,1487077
373,9167578
374,1328087
375,6375104
376,8134512
377,4323958
378,9524531
379,849730
380,865863
381,9524973
382,66480
383,7806276
384,1417873
385,5916982
386,816591
387,4531698
388,6729844
389,7173334
