ACCOUNT_ID,AMOUNT_CENTS,TXN_TYPE
5828,395367,D
9990,493483,W
7949,916805,D
4649,114073,D
886,161567,W
1034,684020,W
8738,374737,D
2662,128928,W
8367,251844,D
7612,107287,D
116,265971,D
1368,639352,W
4582,702750,W
2478,386777,D
8425,951869,D
509,329727,D
3761,744450,D
5675,572473,D
6284,577167,D
496,308570,D
1762,590083,W
4136,693292,D
5369,181193,W
2764,850820,D
490,250607,W
5873,489693,D
7589,546475,W
5896,120216,D
5250,631179,W
7131,857308,D
4990,203146,W
3948,873291,D
2410,880178,W
4300,248211,D
6215,184231,W
6477,530577,D
7167,487090,D
5596,855740,D
3075,698460,W
8039,503141,W
3856,109128,W
4067,742909,D
4082,739917,D
9506,283992,D
9181,791364,D
5418,46926,W
5419,735622,D
3621,168710,W
6603,955065,D
1277,334936,D
4638,91156,W
2704,575498,D
8286,636381,W
1618,107182,W
4345,251490,D
9716,714805,W
643,63122,D
3243,56386,D
8731,306571,D
931,644391,W
2163,979962,D
5403,884916,D
8347,209264,D
7037,238244,W
3909,481324,W
4741,656779,D
9339,865011,W
8010,988121,D
1264,88080,D
3484,591667,W
9319,860264,D
6474,108446,D
4576,654619,W
158,218589,D
4926,992256,D
3490,190435,W
9097,522992,D
2066,435851,W
4929,917909,D
2195,31018,D
4093,350534,D
9946,944531,W
2425,804804,W
8775,682806,D
4438,385255,W
9135,868988,D
9742,813407,W
7827,888905,D
1310,653045,W
1378,335709,W
7157,448155,W
7933,552778,W
188,966255,W
4998,995037,D
3918,977390,D
9354,905951,W
6823,29391,W
8666,576187,D
5819,331266,W
3286,183195,D
797,517889,W
6605,265909,W
4889,692559,W
6894,777607,W
4099,41867,D
3825,971105,W
8323,564903,D
8169,838787,D
6875,402132,W
3098,368949,D
9988,702563,D
4270,955192,D
255,692989,W
3055,307917,D
3580,314137,W
6,184423,W
6398,828940,D
5945,406921,D
3025,44018,W
9716,331293,W
8532,564601,W
7216,516376,W
9971,257938,D
8163,604871,D
4650,947133,D
1156,340999,D
2949,155174,D
2243,247770,D
6420,280662,D
5494,234159,D
6357,25326,D
4574,194932,D
3906,576587,W
932,811178,D
583,701103,W
3660,962261,D
6960,925727,W
8962,441811,D
636,552766,W
543,98989,D
4115,328022,W
2193,69674,D
2680,717293,W
2597,194716,D
8152,502223,W
3290,559632,W
5779,446286,D
8341,455843,D
305,45646,D
9079,266537,D
3415,34108,W
9100,99062,W
6310,418682,D
3051,621489,W
6271,260246,D
9848,532096,D
5242,525234,W
5351,242507,D
3484,107141,W
2750,822441,D
7463,118764,W
7964,384000,D
6355,550734,D
2594,565438,W
3221,802162,W
9333,681482,D
9862,632952,W
4390,538264,W
6709,780456,D
1842,285535,W
6598,335274,D
4978,735398,D
5708,460450,D
1220,399049,D
7728,827978,D
8037,651430,D
2272,658401,D
9774,542087,W
9344,953826,D
8434,55335,W
6462,353820,W
9665,737190,D
9966,55068,W
9422,45803,D
3192,817626,W
2159,129952,W
9830,276245,W
467,137643,D
6197,101057,W
4811,433947,W
2028,978323,W
5075,808429,W
3960,636808,W
386,251444,W
6254,945138,W
877,639464,D
4031,248529,D
3801,768186,W
