ACCOUNT_ID,BALANCE_CENTS
0,5285815
1,4303880
2,5892362
3,5349509
4,4112250
5,122150
6,12142651
7,-1193000
8,899819
9,6700827
10,2040728
11,3434806
12,3015492
13,1896583
14,5167031
15,7635282
16,2475556
17,4404281
18,8798398
19,3572559
20,8340921
21,4247556
22,4417342
23,8156375
24,3230970
25,8180327
26,8251607
27,5254736
28,6509956
29,6215145
30,9436252
31,-1066242
32,5525931
33,11773408
34,334060
35,7472970
36,11293774
37,5204031
38,9727671
39,4610858
40,9960312
41,6445844
42,9546112
43,10647935
44,377139
45,8850980
46,7833960
47,3987883
48,3116457
49,9693902
50,12356846
51,4161770
52,74788
53,7224856
54,5977108
55,9191530
56,2596819
57,2605819
58,12091964
59,7461496
60,7635603
61,2546516
62,1923505
63,1842125
64,5470980
65,2265414
66,11947341
67,12406874
68,11241643
69,7292020
70,3526748
71,6253651
72,11428135
73,6909119
74,6730232
75,10332188
76,11682070
77,6160695
78,6045680
79,6064295
80,-98706
81,7156628
82,4226236
83,8453163
84,342372
85,7516340
86,4558175
87,4205811
88,2597572
89,6758754
90,6784135
91,5354015
92,2828413
93,10187483
94,5255578
95,7798929
96,2730119
97,6754406
98,10123460
99,6814276
100,10348576
101,808692
102,8142951
103,4354391
104,8684939
105,7084174
106,2812373
107,5221297
108,5461231
109,4458185
110,2589869
111,-72973
112,6453506
113,8194112
114,11581307
115,5609487
116,9807121
117,854468
118,1457887
119,3164496
120,6545090
121,748964
122,4224653
123,6954541
124,3308164
125,3786285
126,1393898
127,4854896
128,4512503
129,8387604
130,3184121
131,4444800
132,2308612
133,6990071
134,1465343
135,4823890
136,-335523
137,7140284
138,8299595
139,774534
140,2075103
141,8211376
142,6549971
143,10188628
144,3096157
145,10731332
146,2882937
147,9920465
148,1390689
149,1759607
150,989617
151,6019854
152,8556418
153,8620485
154,7451478
155,7697280
156,4938716
157,8263554
158,8037871
159,2218811
160,4950195
161,5285392
162,6451143
163,9332800
164,10100258
165,2268055
166,1795500
167,8188578
168,5351646
169,1937647
170,3478376
171,7833376
172,1845660
173,6341712
174,7419532
175,2491365
176,8080791
177,1276676
178,2587721
179,8619852
180,8895241
181,5403691
182,5018254
183,1828784
184,9935052
185,5917108
186,4696227
187,8122932
188,4971732
189,7279842
190,-609237
191,3737318
192,2558042
193,2404449
194,8773355
195,729599
196,254387
197,4141526
198,5250769
199,11584703
200,7145212
201,2407743
202,6056140
203,8475619
204,3857219
205,9259369
206,1076179
207,10731211
208,8917365
209,3122737
210,4681801
211,3559822
212,7538477
213,11034413
214,6643811
215,6780942
216,3391644
217,1552570
218,2801375
219,6529834
220,8708220
221,9556750
222,7598710
223,10241762
224,5230710
225,5837246
226,914310
227,-216213
228,8950531
229,9839222
230,7650106
231,8353459
232,10394431
233,4671009
234,5911820
235,3162686
236,11461711
237,9147042
238,5929403
239,13109038
240,10898813
241,11239950
242,7092780
243,5235847
244,3976138
245,4438591
246,2776201
247,6264456
248,5064746
249,7752400
250,5012224
251,574076
252,6529364
253,7271225
254,2284581
255,4362215
256,5482433
257,3891869
258,2683129
259,5334282
260,10353902
261,4789218
262,9187405
263,6573747
264,9788457
265,8017342
266,6278502
267,5268075
268,7643160
269,5973763
270,3501161
