ACCOUNT_ID,TOTAL_DEPOSITS,TOTAL_WITHDRAWALS,TXN_COUNT,ENDING_BALANCE
0,2008933,3015919,9,5285815
1,3043949,3152657,13,4303880
2,2173144,4058703,11,5892362
3,3015998,1648418,9,5349509
4,3478555,1564790,13,4112250
5,2588308,2481930,12,122150
6,4324542,1664282,13,12142651
7,966429,3984360,11,-1193000
8,1890664,1139943,8,899819
9,2467195,1289717,8,6700827
10,1390106,1892912,7,2040728
11,6541300,4230576,15,3434806
12,4439351,2195313,14,3015492
13,4789795,3702319,14,1896583
14,3336929,594152,9,5167031
15,5072230,3281702,16,7635282
16,3552790,1786453,9,2475556
17,1453273,4352138,11,4404281
18,2127897,773730,6,8798398
19,725981,928220,6,3572559
20,577326,1893134,6,8340921
21,2928422,2743149,12,4247556
22,1362479,2051454,8,4417342
23,1301766,1581850,6,8156375
24,3609787,3332552,12,3230970
25,3110270,4183276,11,8180327
26,6434576,2956118,18,8251607
27,1035926,1797620,11,5254736
28,2167007,2525166,9,6509956
29,2990673,617112,8,6215145
30,2741367,2221259,8,9436252
31,1586136,4115365,10,-1066242
32,1732796,2971295,7,5525931
33,3659926,1253384,9,11773408
34,2090201,3223159,10,334060
35,977612,2207480,6,7472970
36,2801998,1215808,9,11293774
37,2163477,2930848,10,5204031
38,5207802,85007,10,9727671
39,3995949,879059,7,4610858
40,5072423,4481502,19,9960312
41,2132700,310524,7,6445844
42,4617898,2184142,11,9546112
43,4861755,2797865,15,10647935
44,3091596,3332508,12,377139
45,1901088,1259859,8,8850980
46,2444722,1960305,9,7833960
47,1690980,4204304,9,3987883
48,888490,2159362,10,3116457
49,3853455,2988038,14,9693902
50,4525490,1427413,13,12356846
51,4558160,1135456,12,4161770
52,2011815,3073100,11,74788
53,2579821,1656050,9,7224856
54,3488649,1035117,14,5977108
55,4496078,1860555,14,9191530
56,2687763,1591382,12,2596819
57,1278195,4668876,14,2605819
58,4316385,1899064,12,12091964
59,1627454,2607636,8,7461496
60,1603410,1710028,11,7635603
61,2408651,516549,7,2546516
62,2072895,927741,6,1923505
63,1448556,3866981,10,1842125
64,4796651,3570718,15,5470980
65,1873342,4969728,14,2265414
66,4975015,1885018,12,11947341
67,5416833,1252248,12,12406874
68,4602822,2116530,11,11241643
69,548688,2220999,8,7292020
70,995821,2242748,6,3526748
71,2052409,2288204,8,6253651
72,3953339,0,8,11428135
73,2566402,2312635,10,6909119
74,1930941,2025544,9,6730232
75,4770209,3084089,15,10332188
76,5649237,1166865,14,11682070
77,4197332,1291426,10,6160695
78,2441547,2860603,11,6045680
79,3882761,1175900,11,6064295
80,1576505,2083645,11,-98706
81,2682034,1655015,11,7156628
82,1295992,933438,7,4226236
83,2473714,3010030,9,8453163
84,1741322,2583735,10,342372
85,1907441,2028958,8,7516340
86,5244381,2304614,14,4558175
87,4318362,2423524,11,4205811
88,1698615,1568086,7,2597572
